ad_id,text,price_score,trust_score,urgency_score,actual_ctr,actual_cvr
0,Ad copy 0 with scores P:0.99 T:0.20 U:0.26,0.9909482279172024,0.19852078684682306,0.25678833558152747,0.05909331755623251,0.17993418983166562
1,Ad copy 1 with scores P:0.74 T:0.55 U:0.85,0.7361535683546669,0.5524286965768317,0.8482605257975094,0.05469411531937478,0.1736192783992408
2,Ad copy 2 with scores P:0.04 T:0.91 U:0.79,0.03975044115184645,0.9140256871325468,0.7941194703220635,0.046478540260684424,0.11815884141165951
3,Ad copy 3 with scores P:0.27 T:0.08 U:0.70,0.27104744620951216,0.08123323243635083,0.7025622760646978,0.0349272456793943,0.10276733992934413
4,Ad copy 4 with scores P:0.75 T:0.98 U:0.48,0.7462442609928498,0.9789324631424755,0.4773371857923747,0.05926232134039214,0.17988989203817002
5,Ad copy 5 with scores P:0.90 T:0.14 U:0.87,0.9046266236659861,0.1385230340710586,0.8720790942092793,0.05837426548090843,0.16990310799462133
6,Ad copy 6 with scores P:0.67 T:0.07 U:0.34,0.6653279216658261,0.07340610695454763,0.33787106614595586,0.04681968353044108,0.123064795968272
7,Ad copy 7 with scores P:0.62 T:0.59 U:0.57,0.6183003883065383,0.5905619133632833,0.5708506050634405,0.05518058925119401,0.14068340840421345
8,Ad copy 8 with scores P:0.02 T:0.63 U:0.71,0.016706049776144538,0.6342705636464675,0.7072251426851748,0.03754696996925828,0.09510826929679272
9,Ad copy 9 with scores P:0.06 T:1.00 U:0.76,0.05882810415194406,0.9967372607230254,0.7639611091364356,0.055515292856265164,0.12554854530028747
10,Ad copy 10 with scores P:0.41 T:0.81 U:0.38,0.4069568523168665,0.8056142160973526,0.38218629982541275,0.05192163150272788,0.1613341780166132
11,Ad copy 11 with scores P:0.52 T:0.68 U:0.27,0.5185303079939615,0.6779845431467149,0.2736895903124805,0.05300936034125827,0.13059690490917497
12,Ad copy 12 with scores P:0.98 T:0.28 U:0.92,0.9774113534065083,0.2834245741833755,0.9204742126477405,0.06072734654866336,0.17469625073502904
13,Ad copy 13 with scores P:0.60 T:0.77 U:0.74,0.600100213903616,0.7744307628111923,0.7448103522152147,0.056165148599326246,0.1618663430665886
14,Ad copy 14 with scores P:0.48 T:0.03 U:0.33,0.4844880531883282,0.028369647322223246,0.3260709030527903,0.032708249317891507,0.09573871934234597
15,Ad copy 15 with scores P:0.37 T:0.83 U:0.51,0.37478616623208316,0.8349773782414228,0.509072224782747,0.04938124873535102,0.15983374930929098
16,Ad copy 16 with scores P:0.51 T:0.82 U:0.35,0.5145977606515343,0.8204499796278611,0.34777830748783467,0.05202227169014467,0.14642015942387115
17,Ad copy 17 with scores P:0.71 T:0.10 U:0.09,0.7057817958733712,0.09767489675437746,0.0865891248432259,0.044736816861317474,0.1420322611424659
18,Ad copy 18 with scores P:0.66 T:0.41 U:0.49,0.6602011364835813,0.4091965881961225,0.49492112601022775,0.04848035336755421,0.14467879511138013
19,Ad copy 19 with scores P:0.31 T:0.94 U:0.64,0.3141377938774105,0.9363431560882043,0.6415381360713895,0.04241028128540566,0.13397945817300624
